user_id,recency,frequency,monetary,R,F,M,RFM_Score,segment
16,156,6984,10862701.06,4,1,1,411,Лояльные клиенты
95,127,77,125956.27,2,1,1,211,Лояльные клиенты
861,155,70,122873.98,4,1,1,411,Лояльные клиенты
927,155,63,122342.4,4,1,1,411,Лояльные клиенты
377,145,65,117202.45999999999,3,1,1,311,Лояльные клиенты
772,149,64,113160.9,4,1,1,411,Лояльные клиенты
561,143,74,112012.08,3,1,1,311,Лояльные клиенты
375,152,70,111168.82,4,1,1,411,Лояльные клиенты
185,137,70,111073.14,2,1,1,211,Лояльные клиенты
868,150,53,106991.86,4,1,1,411,Лояльные клиенты
244,151,64,106459.34,4,1,1,411,Лояльные клиенты
555,145,71,105534.81,3,1,1,311,Лояльные клиенты
218,119,67,105120.43,2,1,1,211,Лояльные клиенты
573,155,75,104530.99,4,1,1,411,Лояльные клиенты
257,141,60,103866.59,3,1,1,311,Лояльные клиенты
939,147,60,103728.88,3,1,1,311,Лояльные клиенты
701,151,64,103639.27,4,1,1,411,Лояльные клиенты
249,138,61,103411.07,3,1,1,311,Лояльные клиенты
120,137,62,102267.83,2,1,1,211,Лояльные клиенты
717,149,62,101757.82,4,1,1,411,Лояльные клиенты
959,100,62,102280.01,1,1,1,111,Лучшие клиенты
293,93,54,99356.02,1,1,1,111,Лучшие клиенты
418,91,56,96373.18,1,1,1,111,Лучшие клиенты
77,116,56,94807.33,1,1,1,111,Лучшие клиенты
489,92,51,92659.5,1,1,1,111,Лучшие клиенты
756,114,58,91229.64,1,1,1,111,Лучшие клиенты
79,108,49,89532.07,1,1,1,111,Лучшие клиенты
58,105,50,88838.63,1,1,1,111,Лучшие клиенты
165,108,48,85788.57,1,1,1,111,Лучшие клиенты
39,116,49,84274.51,1,1,1,111,Лучшие клиенты
974,113,51,83627.19,1,1,1,111,Лучшие клиенты
140,98,49,83616.86,1,1,1,111,Лучшие клиенты
904,87,49,82270.09,1,1,1,111,Лучшие клиенты
89,110,49,81800.62,1,1,1,111,Лучшие клиенты
858,103,54,81545.65,1,1,1,111,Лучшие клиенты
403,117,48,81224.57,1,1,1,111,Лучшие клиенты
444,77,49,80200.55,1,1,1,111,Лучшие клиенты
110,111,47,79563.14,1,1,1,111,Лучшие клиенты
123,103,49,78888.48,1,1,1,111,Лучшие клиенты
969,115,49,78804.07,1,1,1,111,Лучшие клиенты
848,98,46,85443.72,1,2,1,121,Недавние клиенты
318,116,43,81989.44,1,2,1,121,Недавние клиенты
664,94,43,81485.56,1,2,1,121,Недавние клиенты
891,108,45,81057.75,1,2,1,121,Недавние клиенты
1009,102,46,77064.68,1,2,1,121,Недавние клиенты
253,116,42,76181.5,1,2,1,121,Недавние клиенты
572,115,42,75204.51,1,2,1,121,Недавние клиенты
1013,67,43,75091.81999999999,1,2,1,121,Недавние клиенты
288,67,36,74987.8,1,3,1,131,Недавние клиенты
354,82,39,74808.7,1,2,1,121,Недавние клиенты
875,117,44,74305.71,1,2,1,121,Недавние клиенты
902,116,45,74001.45,1,2,1,121,Недавние клиенты
860,107,46,73484.38,1,2,1,121,Недавние клиенты
662,42,42,73122.93,1,2,2,122,Недавние клиенты
865,89,46,72769.21,1,2,2,122,Недавние клиенты
957,82,46,72738.69,1,2,2,122,Недавние клиенты
497,107,43,70724.46,1,2,2,122,Недавние клиенты
31,117,43,70343.9,1,2,2,122,Недавние клиенты
917,117,43,69793.72,1,2,2,122,Недавние клиенты
198,107,38,69768.77,1,3,2,132,Недавние клиенты
1001,140,44,72843.98,3,2,2,322,Нужно вовлекать
605,132,39,72820.66,2,2,2,222,Нужно вовлекать
562,123,46,72726.6,2,2,2,222,Нужно вовлекать
723,154,45,72703.94,4,2,2,422,Нужно вовлекать
365,139,39,72139.02,3,2,2,322,Нужно вовлекать
752,134,46,71913.51,2,2,2,222,Нужно вовлекать
177,137,41,71855.24,2,2,2,222,Нужно вовлекать
411,125,39,71672.04,2,2,2,222,Нужно вовлекать
259,148,41,71358.84,3,2,2,322,Нужно вовлекать
618,142,41,70983.81,3,2,2,322,Нужно вовлекать
42,149,43,70911.43,4,2,2,422,Нужно вовлекать
505,132,46,70832.97,2,2,2,222,Нужно вовлекать
281,141,46,70762.68000000001,3,2,2,322,Нужно вовлекать
472,146,44,70696.86,3,2,2,322,Нужно вовлекать
1010,149,39,70651.21,4,2,2,422,Нужно вовлекать
431,143,46,70345.86,3,2,2,322,Нужно вовлекать
146,156,44,69785.7,4,2,2,422,Нужно вовлекать
788,123,38,69704.24,2,3,2,232,Нужно вовлекать
173,146,36,69596.45,3,3,2,332,Нужно вовлекать
391,151,45,69466.16,4,2,2,422,Нужно вовлекать
819,140,46,87854.56,3,2,1,321,Платящие клиенты
789,133,45,87067.5,2,2,1,221,Платящие клиенты
305,138,44,85065.07,3,2,1,321,Платящие клиенты
961,123,44,84887.01,2,2,1,221,Платящие клиенты
575,146,46,84136.27,3,2,1,321,Платящие клиенты
539,154,41,83968.75,4,2,1,421,Платящие клиенты
967,138,46,83739.91,3,2,1,321,Платящие клиенты
670,139,45,82747.3,3,2,1,321,Платящие клиенты
327,146,43,82298.55,3,2,1,321,Платящие клиенты
163,142,45,81236.39,3,2,1,321,Платящие клиенты
518,156,43,80717.28,4,2,1,421,Платящие клиенты
406,127,42,80592.69,2,2,1,221,Платящие клиенты
774,148,46,79995.36,3,2,1,321,Платящие клиенты
735,147,41,79278.52,3,2,1,321,Платящие клиенты
500,143,46,78643.4,3,2,1,321,Платящие клиенты
972,151,45,78443.28,4,2,1,421,Платящие клиенты
694,153,46,77325.5,4,2,1,421,Платящие клиенты
148,145,41,77045.06,3,2,1,321,Платящие клиенты
929,128,44,76737.7,2,2,1,221,Платящие клиенты
190,144,45,76673.12,3,2,1,321,Платящие клиенты
